GoogleID,store name,address,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Eis3NDUgQ29sbGVnZSBTdCwgVG9yb250bywgT04gTTZHIDFDNSwgQ2FuYWRhIjESLwoUChIJq0Ni1fA0K4gRz34cL-Xiz5cQ6QUqFAoSCTv2tGjuNCuIEYB5aQ6-hVC-,Tim Hortons,"745 College St, Toronto, ON M6G 1C5 , Canada","{'11 a.m': 57, '4 a.m': 0, '5 a.m': 1, '6 a.m': 7, '7 a.m': 16, '8 a.m': 28, '9 a.m': 40, '10 a.m': 51, '12 p.m': 58, '1 p.m': 54, '2 p.m': 50, '3 p.m': 48, '4 p.m': 49, '5 p.m': 51, '6 p.m': 54, '7 p.m': 54, '8 p.m': 49, '9 p.m': 39, '10 p.m': 24}","{'4 a.m': 0, '5 a.m': 4, '6 a.m': 23, '7 a.m': 50, '8 a.m': 66, '9 a.m': 64, '10 a.m': 64, '11 a.m': 78, '12 p.m': 90, '1 p.m': 77, '2 p.m': 49, '3 p.m': 27, '4 p.m': 24, '5 p.m': 33, '6 p.m': 44, '7 p.m': 47, '8 p.m': 39, '9 p.m': 26, '10 p.m': 12}","{'4 a.m': 0, '5 a.m': 9, '6 a.m': 32, '7 a.m': 60, '8 a.m': 78, '9 a.m': 76, '10 a.m': 65, '11 a.m': 62, '12 p.m': 67, '1 p.m': 70, '2 p.m': 64, '3 p.m': 55, '4 p.m': 51, '5 p.m': 54, '6 p.m': 59, '7 p.m': 59, '8 p.m': 50, '9 p.m': 34, '10 p.m': 18}","{'4 a.m': 0, '5 a.m': 7, '6 a.m': 28, '7 a.m': 63, '8 a.m': 93, '9 a.m': 100, '10 a.m': 88, '11 a.m': 76, '12 p.m': 71, '1 p.m': 65, '2 p.m': 54, '3 p.m': 44, '4 p.m': 43, '5 p.m': 48, '6 p.m': 54, '7 p.m': 54, '8 p.m': 46, '9 p.m': 32, '10 p.m': 18}","{'4 a.m': 0, '5 a.m': 8, '6 a.m': 32, '7 a.m': 62, '8 a.m': 76, '9 a.m': 70, '10 a.m': 65, '11 a.m': 70, '12 p.m': 74, '1 p.m': 70, '2 p.m': 58, '3 p.m': 46, '4 p.m': 41, '5 p.m': 43, '6 p.m': 47, '7 p.m': 49, '8 p.m': 45, '9 p.m': 34, '10 p.m': 21}","{'4 a.m': 0, '5 a.m': 3, '6 a.m': 36, '7 a.m': 83, '8 a.m': 77, '9 a.m': 52, '10 a.m': 56, '11 a.m': 67, '12 p.m': 69, '1 p.m': 61, '2 p.m': 47, '3 p.m': 36, '4 p.m': 35, '5 p.m': 43, '6 p.m': 54, '7 p.m': 63, '8 p.m': 61, '9 p.m': 51, '10 p.m': 35}","{'4 a.m': 0, '5 a.m': 0, '6 a.m': 8, '7 a.m': 25, '8 a.m': 45, '9 a.m': 57, '10 a.m': 55, '11 a.m': 43, '12 p.m': 38, '1 p.m': 48, '2 p.m': 62, '3 p.m': 64, '4 p.m': 56, '5 p.m': 49, '6 p.m': 49, '7 p.m': 52, '8 p.m': 51, '9 p.m': 45, '10 p.m': 36}"
ChIJr1Ri1fA0K4gR65OFmurbqCU,Tim Hortons,"745 College St, Toronto, ON M6G 1C5, Canada","{'11 a.m': 57, '4 a.m': 0, '5 a.m': 1, '6 a.m': 7, '7 a.m': 16, '8 a.m': 28, '9 a.m': 40, '10 a.m': 51, '12 p.m': 58, '1 p.m': 54, '2 p.m': 50, '3 p.m': 48, '4 p.m': 49, '5 p.m': 51, '6 p.m': 54, '7 p.m': 54, '8 p.m': 49, '9 p.m': 39, '10 p.m': 24}","{'4 a.m': 0, '5 a.m': 4, '6 a.m': 23, '7 a.m': 50, '8 a.m': 66, '9 a.m': 64, '10 a.m': 64, '11 a.m': 78, '12 p.m': 90, '1 p.m': 77, '2 p.m': 49, '3 p.m': 27, '4 p.m': 24, '5 p.m': 33, '6 p.m': 44, '7 p.m': 47, '8 p.m': 39, '9 p.m': 26, '10 p.m': 12}","{'4 a.m': 0, '5 a.m': 9, '6 a.m': 32, '7 a.m': 60, '8 a.m': 78, '9 a.m': 76, '10 a.m': 65, '11 a.m': 62, '12 p.m': 67, '1 p.m': 70, '2 p.m': 64, '3 p.m': 55, '4 p.m': 51, '5 p.m': 54, '6 p.m': 59, '7 p.m': 59, '8 p.m': 50, '9 p.m': 34, '10 p.m': 18}","{'4 a.m': 0, '5 a.m': 7, '6 a.m': 28, '7 a.m': 63, '8 a.m': 93, '9 a.m': 100, '10 a.m': 88, '11 a.m': 76, '12 p.m': 71, '1 p.m': 65, '2 p.m': 54, '3 p.m': 44, '4 p.m': 43, '5 p.m': 48, '6 p.m': 54, '7 p.m': 54, '8 p.m': 46, '9 p.m': 32, '10 p.m': 18}","{'4 a.m': 0, '5 a.m': 8, '6 a.m': 32, '7 a.m': 62, '8 a.m': 76, '9 a.m': 70, '10 a.m': 65, '11 a.m': 70, '12 p.m': 74, '1 p.m': 70, '2 p.m': 58, '3 p.m': 46, '4 p.m': 41, '5 p.m': 43, '6 p.m': 47, '7 p.m': 49, '8 p.m': 45, '9 p.m': 34, '10 p.m': 21}","{'4 a.m': 0, '5 a.m': 3, '6 a.m': 36, '7 a.m': 83, '8 a.m': 77, '9 a.m': 52, '10 a.m': 56, '11 a.m': 67, '12 p.m': 69, '1 p.m': 61, '2 p.m': 47, '3 p.m': 36, '4 p.m': 35, '5 p.m': 43, '6 p.m': 54, '7 p.m': 63, '8 p.m': 61, '9 p.m': 51, '10 p.m': 35}","{'4 a.m': 0, '5 a.m': 0, '6 a.m': 8, '7 a.m': 25, '8 a.m': 45, '9 a.m': 57, '10 a.m': 55, '11 a.m': 43, '12 p.m': 38, '1 p.m': 48, '2 p.m': 62, '3 p.m': 64, '4 p.m': 56, '5 p.m': 49, '6 p.m': 49, '7 p.m': 52, '8 p.m': 51, '9 p.m': 45, '10 p.m': 36}"
ChIJTVHK7Yw0K4gRdbyPtcSATNE,Tim Hortons,"726 Bloor St W, Toronto, ON M6G 4A1, Canada","{'11 a.m': 55, '4 a.m': 0, '5 a.m': 1, '6 a.m': 3, '7 a.m': 14, '8 a.m': 59, '9 a.m': 68, '10 a.m': 50, '12 p.m': 50, '1 p.m': 33, '2 p.m': 22, '3 p.m': 18, '4 p.m': 16, '5 p.m': 12, '6 p.m': 0, '7 p.m': 7, '8 p.m': 3, '9 p.m': 1, '10 p.m': 0}","{'4 a.m': 0, '5 a.m': 1, '6 a.m': 5, '7 a.m': 24, '8 a.m': 64, '9 a.m': 79, '10 a.m': 59, '11 a.m': 50, '12 p.m': 50, '1 p.m': 46, '2 p.m': 37, '3 p.m': 27, '4 p.m': 20, '5 p.m': 14, '6 p.m': 9, '7 p.m': 5, '8 p.m': 3, '9 p.m': 1, '10 p.m': 0}","{'4 a.m': 0, '5 a.m': 1, '6 a.m': 5, '7 a.m': 20, '8 a.m': 50, '9 a.m': 83, '10 a.m': 100, '11 a.m': 85, '12 p.m': 53, '1 p.m': 25, '2 p.m': 14, '3 p.m': 12, '4 p.m': 14, '5 p.m': 14, '6 p.m': 12, '7 p.m': 7, '8 p.m': 5, '9 p.m': 1, '10 p.m': 0}","{'4 a.m': 0, '5 a.m': 1, '6 a.m': 5, '7 a.m': 20, '8 a.m': 44, '9 a.m': 64, '10 a.m': 61, '11 a.m': 42, '12 p.m': 27, '1 p.m': 22, '2 p.m': 22, '3 p.m': 20, '4 p.m': 18, '5 p.m': 14, '6 p.m': 11, '7 p.m': 7, '8 p.m': 3, '9 p.m': 1, '10 p.m': 0}","{'4 a.m': 0, '5 a.m': 3, '6 a.m': 7, '7 a.m': 16, '8 a.m': 51, '9 a.m': 85, '10 a.m': 59, '11 a.m': 40, '12 p.m': 40, '1 p.m': 38, '2 p.m': 33, '3 p.m': 25, '4 p.m': 18, '5 p.m': 11, '6 p.m': 7, '7 p.m': 3, '8 p.m': 1, '9 p.m': 0, '10 p.m': 0}","{'4 a.m': 0, '5 a.m': 3, '6 a.m': 7, '7 a.m': 16, '8 a.m': 22, '9 a.m': 22, '10 a.m': 16, '11 a.m': 9, '12 p.m': 0, '1 p.m': 1, '2 p.m': 0, '3 p.m': 7, '4 p.m': 12, '5 p.m': 12, '6 p.m': 9, '7 p.m': 3, '8 p.m': 1, '9 p.m': 1, '10 p.m': 0}",{}
ChIJkbolmqI1K4gRbdVtkmNI2Hk,Tim Hortons,"1167 Queen St W, Toronto, ON M6J 1J4, Canada","{'9 a.m': 44, '6 a.m': 0, '7 a.m': 6, '8 a.m': 20, '10 a.m': 64, '11 a.m': 65, '12 p.m': 50, '1 p.m': 37, '2 p.m': 38, '3 p.m': 47, '4 p.m': 54, '5 p.m': 52, '6 p.m': 42, '7 p.m': 28, '8 p.m': 16, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}","{'6 a.m': 0, '7 a.m': 20, '8 a.m': 44, '9 a.m': 65, '10 a.m': 71, '11 a.m': 59, '12 p.m': 48, '1 p.m': 50, '2 p.m': 53, '3 p.m': 41, '4 p.m': 21, '5 p.m': 14, '6 p.m': 35, '7 p.m': 56, '8 p.m': 37, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}","{'6 a.m': 0, '7 a.m': 9, '8 a.m': 56, '9 a.m': 100, '10 a.m': 69, '11 a.m': 57, '12 p.m': 68, '1 p.m': 62, '2 p.m': 48, '3 p.m': 44, '4 p.m': 45, '5 p.m': 45, '6 p.m': 40, '7 p.m': 31, '8 p.m': 21, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}","{'6 a.m': 0, '7 a.m': 45, '8 a.m': 85, '9 a.m': 83, '10 a.m': 61, '11 a.m': 54, '12 p.m': 52, '1 p.m': 46, '2 p.m': 36, '3 p.m': 28, '4 p.m': 27, '5 p.m': 32, '6 p.m': 34, '7 p.m': 27, '8 p.m': 17, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}","{'6 a.m': 0, '7 a.m': 49, '8 a.m': 83, '9 a.m': 78, '10 a.m': 60, '11 a.m': 62, '12 p.m': 69, '1 p.m': 68, '2 p.m': 60, '3 p.m': 52, '4 p.m': 47, '5 p.m': 45, '6 p.m': 42, '7 p.m': 36, '8 p.m': 28, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}","{'6 a.m': 0, '7 a.m': 29, '8 a.m': 53, '9 a.m': 75, '10 a.m': 86, '11 a.m': 81, '12 p.m': 65, '1 p.m': 49, '2 p.m': 39, '3 p.m': 35, '4 p.m': 32, '5 p.m': 29, '6 p.m': 27, '7 p.m': 22, '8 p.m': 16, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}","{'6 a.m': 0, '7 a.m': 22, '8 a.m': 45, '9 a.m': 70, '10 a.m': 85, '11 a.m': 81, '12 p.m': 61, '1 p.m': 40, '2 p.m': 28, '3 p.m': 29, '4 p.m': 35, '5 p.m': 37, '6 p.m': 33, '7 p.m': 22, '8 p.m': 12, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}"
ChIJj-o4XIs0K4gR3xBjxfYXs_c,Tim Hortons,"1094 Bloor St W, Toronto, ON M6H 1M5, Canada","{'4 a.m': 0, '5 a.m': 4, '6 a.m': 16, '7 a.m': 30, '8 a.m': 45, '9 a.m': 56, '10 a.m': 62, '11 a.m': 63, '12 p.m': 61, '1 p.m': 61, '2 p.m': 65, '3 p.m': 70, '4 p.m': 72, '5 p.m': 73, '6 p.m': 76, '7 p.m': 85, '8 p.m': 89, '9 p.m': 75, '10 p.m': 46}","{'4 a.m': 0, '5 a.m': 18, '6 a.m': 34, '7 a.m': 51, '8 a.m': 67, '9 a.m': 78, '10 a.m': 82, '11 a.m': 77, '12 p.m': 67, '1 p.m': 56, '2 p.m': 49, '3 p.m': 48, '4 p.m': 54, '5 p.m': 64, '6 p.m': 72, '7 p.m': 75, '8 p.m': 69, '9 p.m': 55, '10 p.m': 38}","{'4 a.m': 0, '5 a.m': 36, '6 a.m': 55, '7 a.m': 70, '8 a.m': 78, '9 a.m': 76, '10 a.m': 68, '11 a.m': 57, '12 p.m': 50, '1 p.m': 49, '2 p.m': 53, '3 p.m': 60, '4 p.m': 66, '5 p.m': 69, '6 p.m': 70, '7 p.m': 74, '8 p.m': 79, '9 p.m': 75, '10 p.m': 57}","{'4 a.m': 0, '5 a.m': 59, '6 a.m': 100, '7 a.m': 53, '8 a.m': 66, '9 a.m': 82, '10 a.m': 87, '11 a.m': 81, '12 p.m': 70, '1 p.m': 62, '2 p.m': 62, '3 p.m': 71, '4 p.m': 82, '5 p.m': 92, '6 p.m': 95, '7 p.m': 89, '8 p.m': 75, '9 p.m': 56, '10 p.m': 37}","{'4 a.m': 0, '5 a.m': 55, '6 a.m': 100, '7 a.m': 91, '8 a.m': 70, '9 a.m': 75, '10 a.m': 88, '11 a.m': 93, '12 p.m': 88, '1 p.m': 76, '2 p.m': 64, '3 p.m': 59, '4 p.m': 62, '5 p.m': 70, '6 p.m': 77, '7 p.m': 79, '8 p.m': 73, '9 p.m': 59, '10 p.m': 40}","{'4 a.m': 0, '5 a.m': 36, '6 a.m': 78, '7 a.m': 96, '8 a.m': 82, '9 a.m': 64, '10 a.m': 64, '11 a.m': 71, '12 p.m': 78, '1 p.m': 77, '2 p.m': 72, '3 p.m': 65, '4 p.m': 60, '5 p.m': 59, '6 p.m': 63, '7 p.m': 66, '8 p.m': 66, '9 p.m': 59, '10 p.m': 45}","{'4 a.m': 0, '5 a.m': 14, '6 a.m': 30, '7 a.m': 50, '8 a.m': 71, '9 a.m': 87, '10 a.m': 96, '11 a.m': 96, '12 p.m': 86, '1 p.m': 73, '2 p.m': 62, '3 p.m': 58, '4 p.m': 63, '5 p.m': 74, '6 p.m': 87, '7 p.m': 93, '8 p.m': 90, '9 p.m': 76, '10 p.m': 55}"
ChIJQ3Ne3Vo0K4gRE5nyCbt2zzE,Tim Hortons,"900 Dufferin St Unit 0565, Toronto, ON M6H 4B1, Canada","{'8 a.m': 0, '6 a.m': 0, '7 a.m': 0, '9 a.m': 0, '10 a.m': 21, '11 a.m': 40, '12 p.m': 37, '1 p.m': 21, '2 p.m': 29, '3 p.m': 45, '4 p.m': 40, '5 p.m': 18, '6 p.m': 0, '7 p.m': 0, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}","{'6 a.m': 0, '7 a.m': 0, '8 a.m': 0, '9 a.m': 16, '10 a.m': 27, '11 a.m': 32, '12 p.m': 35, '1 p.m': 35, '2 p.m': 32, '3 p.m': 29, '4 p.m': 40, '5 p.m': 56, '6 p.m': 40, '7 p.m': 13, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}","{'6 a.m': 0, '7 a.m': 0, '8 a.m': 0, '9 a.m': 35, '10 a.m': 43, '11 a.m': 43, '12 p.m': 43, '1 p.m': 54, '2 p.m': 64, '3 p.m': 64, '4 p.m': 56, '5 p.m': 40, '6 p.m': 24, '7 p.m': 13, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}","{'6 a.m': 0, '7 a.m': 0, '8 a.m': 0, '9 a.m': 18, '10 a.m': 35, '11 a.m': 54, '12 p.m': 70, '1 p.m': 78, '2 p.m': 75, '3 p.m': 64, '4 p.m': 59, '5 p.m': 64, '6 p.m': 67, '7 p.m': 51, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}","{'6 a.m': 0, '7 a.m': 0, '8 a.m': 0, '9 a.m': 45, '10 a.m': 70, '11 a.m': 83, '12 p.m': 83, '1 p.m': 75, '2 p.m': 70, '3 p.m': 72, '4 p.m': 70, '5 p.m': 59, '6 p.m': 40, '7 p.m': 21, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}","{'6 a.m': 0, '7 a.m': 0, '8 a.m': 0, '9 a.m': 32, '10 a.m': 56, '11 a.m': 75, '12 p.m': 83, '1 p.m': 83, '2 p.m': 86, '3 p.m': 91, '4 p.m': 94, '5 p.m': 81, '6 p.m': 54, '7 p.m': 29, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}","{'6 a.m': 0, '7 a.m': 0, '8 a.m': 0, '9 a.m': 32, '10 a.m': 62, '11 a.m': 89, '12 p.m': 100, '1 p.m': 91, '2 p.m': 78, '3 p.m': 75, '4 p.m': 75, '5 p.m': 70, '6 p.m': 56, '7 p.m': 40, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0, '11 p.m': 0}"
ChIJw33iik40K4gRKLOqLx1tkPw,Tim Hortons,"1269 College St, Toronto, ON M6H 1C5, Canada","{'11 a.m': 61, '5 a.m': 0, '6 a.m': 9, '7 a.m': 24, '8 a.m': 45, '9 a.m': 63, '10 a.m': 68, '12 p.m': 53, '1 p.m': 47, '2 p.m': 45, '3 p.m': 46, '4 p.m': 51, '5 p.m': 56, '6 p.m': 60, '7 p.m': 58, '8 p.m': 50, '9 p.m': 38, '10 p.m': 25}","{'5 a.m': 0, '6 a.m': 13, '7 a.m': 43, '8 a.m': 70, '9 a.m': 76, '10 a.m': 66, '11 a.m': 63, '12 p.m': 73, '1 p.m': 74, '2 p.m': 60, '3 p.m': 46, '4 p.m': 44, '5 p.m': 52, '6 p.m': 58, '7 p.m': 56, '8 p.m': 47, '9 p.m': 32, '10 p.m': 17}","{'5 a.m': 0, '6 a.m': 25, '7 a.m': 48, '8 a.m': 71, '9 a.m': 85, '10 a.m': 85, '11 a.m': 73, '12 p.m': 58, '1 p.m': 48, '2 p.m': 46, '3 p.m': 47, '4 p.m': 48, '5 p.m': 46, '6 p.m': 40, '7 p.m': 34, '8 p.m': 34, '9 p.m': 33, '10 p.m': 22}","{'5 a.m': 0, '6 a.m': 23, '7 a.m': 52, '8 a.m': 83, '9 a.m': 100, '10 a.m'`3, '11 a.m': 73, '12 p.m': 56, '1 p.m': 50, '2 p.m': 51, '3 p.m': 55, '4 p.m': 57, '5 p.m': 55, '6 p.m': 50, '7 p.m': 41, '8 p.m': 32, '9 p.m': 22, '10 p.m': 12}","{'5 a.m': 0, '6 a.m': 19, '7 a.m': 48, '8 a.m': 76, '9 a.m': 87, '10 a.m': 79, '11 a.m': 65, '12 p.m': 60, '1 p.m': 62, '2 p.m': 65, '3 p.m': 62, '4 p.m': 56, '5 p.m': 54, '6 p.m': 57, '7 p.m': 63, '8 p.m': 64, '9 p.m': 55, '10 p.m': 37}","{'5 a.m': 0, '6 a.m': 37, '7 a.m': 66, '8 a.m': 80, '9 a.m': 73, '10 a.m': 57, '11 a.m': 47, '12 p.m': 46, '1 p.m': 49, '2 p.m': 50, '3 p.m': 48, '4 p.m': 47, '5 p.m': 48, '6 p.m': 52, '7 p.m': 54, '8 p.m': 52, '9 p.m': 43, '10 p.m': 31}","{'5 a.m': 0, '6 a.m': 28, '7 a.m': 50, '8 a.m': 59, '9 a.m': 65, '10 a.m': 75, '11 a.m': 81, '12 p.m': 77, '1 p.m': 65, '2 p.m': 51, '3 p.m': 40, '4 p.m': 36, '5 p.m': 39, '6 p.m': 43, '7 p.m': 46, '8 p.m': 44, '9 p.m': 37, '10 p.m': 26}"
ChIJOcdLZ-A0K4gRzERBTtvAJLY,Tim Hortons,"720 King St W, Toronto, ON M5V 2T3, Canada","{'10 a.m': 52, '6 a.m': 0, '7 a.m': 18, '8 a.m': 34, '9 a.m': 46, '11 a.m': 55, '12 p.m': 55, '1 p.m': 49, '2 p.m': 38, '3 p.m': 24, '4 p.m': 12, '5 p.m': 6, '6 p.m': 8, '7 p.m': 16, '8 p.m': 23, '9 p.m': 18, '10 p.m': 0, '11 p.m': 0}","{'5 a.m': 0, '6 a.m': 19, '7 a.m': 37, '8 a.m': 54, '9 a.m': 62, '10 a.m': 63, '11 a.m': 60, '12 p.m': 57, '1 p.m': 52, '2 p.m': 44, '3 p.m': 33, '4 p.m': 25, '5 p.m': 23, '6 p.m': 24, '7 p.m': 22, '8 p.m': 16, '9 p.m': 9, '10 p.m': 0}","{'5 a.m': 0, '6 a.m': 30, '7 a.m': 61, '8 a.m': 90, '9 a.m': 100, '10 a.m': 86, '11 a.m': 65, '12 p.m': 55, '1 p.m': 52, '2 p.m': 42, '3 p.m': 25, '4 p.m': 14, '5 p.m': 13, '6 p.m': 17, '7 p.m': 16, '8 p.m': 9, '9 p.m': 3, '10 p.m': 0}","{'5 a.m': 0, '6 a.m': 19, '7 a.m': 46, '8 a.m': 72, '9 a.m': 77, '10 a.m': 63, '11 a.m': 52, '12 p.m': 51, '1 p.m': 52, '2 p.m': 44, '3 p.m': 30, '4 p.m': 16, '5 p.m': 11, '6 p.m': 16, '7 p.m': 24, '8 p.m': 24, '9 p.m': 14, '10 p.m': 0}","{'5 a.m': 0, '6 a.m': 17, '7 a.m': 50, '8 a.m': 83, '9 a.m': 86, '10 a.m': 67, '11 a.m': 56, '12 p.m': 58, '1 p.m': 56, '2 p.m': 46, '3 p.m': 30, '4 p.m': 16, '5 p.m': 9, '6 p.m': 13, '7 p.m': 19, '8 p.m': 15, '9 p.m': 5, '10 p.m': 0}","{'5 a.m': 0, '6 a.m': 12, '7 a.m': 33, '8 a.m': 59, '9 a.m': 74, '10 a.m': 70, '11 a.m': 62, '12 p.m': 58, '1 p.m': 54, '2 p.m': 45, '3 p.m': 35, '4 p.m': 29, '5 p.m': 26, '6 p.m': 25, '7 p.m': 24, '8 p.m': 21, '9 p.m': 16, '10 p.m': 0}","{'6 a.m': 0, '7 a.m': 17, '8 a.m': 30, '9 a.m': 44, '10 a.m': 53, '11 a.m': 56, '12 p.m': 54, '1 p.m': 49, '2 p.m': 44, '3 p.m': 38, '4 p.m': 31, '5 p.m': 23, '6 p.m': 16, '7 p.m': 11, '8 p.m': 19, '9 p.m': 38, '10 p.m': 0, '11 p.m': 0}"
ChIJaWFCIv40K4gRTd1q7EeAm8I,Tim Hortons,"1033 Queen St W, Toronto, ON M6J 0A6, Canada","{'11 a.m': 36, '4 a.m': 0, '5 a.m': 8, '6 a.m': 16, '7 a.m': 24, '8 a.m': 32, '9 a.m': 0, '10 a.m': 40, '12 p.m': 28, '1 p.m': 20, '2 p.m': 12, '3 p.m': 4, '4 p.m': 0, '5 p.m': 8, '6 p.m': 28, '7 p.m': 12, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0}","{'4 a.m': 0, '5 a.m': 8, '6 a.m': 28, '7 a.m': 68, '8 a.m': 92, '9 a.m': 76, '10 a.m': 44, '11 a.m': 32, '12 p.m': 32, '1 p.m': 32, '2 p.m': 28, '3 p.m': 24, '4 p.m': 32, '5 p.m': 32, '6 p.m': 16, '7 p.m': 4, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0}","{'4 a.m': 0, '5 a.m': 16, '6 a.m': 28, '7 a.m': 44, '8 a.m': 56, '9 a.m': 64, '10 a.m': 64, '11 a.m': 56, '12 p.m': 44, '1 p.m': 32, '2 p.m': 20, '3 p.m': 20, '4 p.m': 24, '5 p.m': 0, '6 p.m': 24, '7 p.m': 12, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0}","{'4 a.m': 0, '5 a.m': 16, '6 a.m': 32, '7 a.m': 48, '8 a.m': 64, '9 a.m': 68, '10 a.m': 60, '11 a.m': 48, '12 p.m': 32, '1 p.m': 24, '2 p.m': 24, '3 p.m': 20, '4 p.m': 20, '5 p.m': 16, '6 p.m': 12, '7 p.m': 8, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0}","{'4 a.m': 0, '5 a.m': 16, '6 a.m': 48, '7 a.m': 92, '8 a.m': 100, '9 a.m': 68, '10 a.m': 44, '11 a.m': 60, '12 p.m': 68, '1 p.m': 48, '2 p.m': 20, '3 p.m': 24, '4 p.m': 48, '5 p.m': 60, '6 p.m': 36, '7 p.m': 12, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0}","{'4 a.m': 0, '5 a.m': 24, '6 a.m': 44, '7 a.m': 68, '8 a.m': 76, '9 a.m': 64, '10 a.m': 44, '11 a.m': 28, '12 p.m': 32, '1 p.m': 44, '2 p.m': 32, '3 p.m': 12, '4 p.m': 8, '5 p.m': 8, '6 p.m': 8, '7 p.m': 8, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0}","{'4 a.m': 0, '5 a.m': 20, '6 a.m': 32, '7 a.m': 36, '8 a.m': 40, '9 a.m': 32, '10 a.m': 24, '11 a.m': 12, '12 p.m': 8, '1 p.m': 4, '2 p.m': 12, '3 p.m': 20, '4 p.m': 16, '5 p.m': 8, '6 p.m': 40, '7 p.m': 20, '8 p.m': 0, '9 p.m': 0, '10 p.m': 0}"
ChIJEYyn8eg0K4gRF4wEChQ9Y8M,Tim Hortons,"750 Dundas St W, Toronto, ON M6J 3S3, Canada","{'10 a.m': 66, '5 a.m': 0, '6 a.m': 22, '7 a.m': 38, '8 a.m': 53, '9 a.m': 62, '11 a.m': 65, '12 p.m': 64, '1 p.m': 64, '2 p.m': 62, '3 p.m': 53, '4 p.m': 44, '5 p.m': 37, '6 p.m': 34, '7 p.m': 28, '8 p.m': 17, '9 p.m': 6, '10 p.m': 0}","{'5 a.m': 0, '6 a.m': 26, '7 a.m': 40, '8 a.m': 55, '9 a.m': 67, '10 a.m': 75, '11 a.m': 76, '12 p.m': 71, '1 p.m': 62, '2 p.m': 54, '3 p.m': 47, '4 p.m': 44, '5 p.m': 42, '6 p.m': 37, '7 p.m': 28, '8 p.m': 18, '9 p.m': 8, '10 p.m': 0}","{'5 a.m': 0, '6 a.m': 32, '7 a.m': 52, '8 a.m': 71, '9 a.m': 84, '10 a.m': 88, '11 a.m': 82, '12 p.m': 69, '1 p.m': 55, '2 p.m': 47, '3 p.m': 48, '4 p.m': 57, '5 p.m': 62, '6 p.m': 53, '7 p.m': 34, '8 p.m': 14, '9 p.m': 1, '10 p.m': 0}","{'5 a.m': 0, '6 a.m': 35, '7 a.m': 54, '8 a.m': 73, '9 a.m': 84, '10 a.m': 84, '11 a.m': 73, '12 p.m': 57, '1 p.m': 44, '2 p.m': 40, '3 p.m': 42, '4 p.m': 46, '5 p.m': 46, '6 p.m': 40, '7 p.m': 27, '8 p.m': 14, '9 p.m': 4, '10 p.m': 0}","{'5 a.m': 0, '6 a.m': 30, '7 a.m': 50, '8 a.m': 71, '9 a.m': 90, '10 a.m': 100, '11 a.m': 98, '12 p.m': 88, '1 p.m': 75, '2 p.m': 64, '3 p.m': 57, '4 p.m': 55, '5 p.m': 53, '6 p.m': 47, '7 p.m': 35, '8 p.m': 22, '9 p.m': 9, '10 p.m': 0}","{'5 a.m': 0, '6 a.m': 31, '7 a.m': 48, '8 a.m': 62, '9 a.m': 68, '10 a.m': 65, '11 a.m': 56, '12 p.m': 46, '1 p.m': 40, '2 p.m': 37, '3 p.m': 37, '4 p.m': 38, '5 p.m': 37, '6 p.m': 33, '7 p.m': 27, '8 p.m': 20, '9 p.m': 12, '10 p.m': 0}","{'5 a.m': 0, '6 a.m': 23, '7 a.m': 33, '8 a.m': 44, '9 a.m': 54, '10 a.m': 62, '11 a.m': 65, '12 p.m': 63, '1 p.m': 60, '2 p.m': 56, '3 p.m': 53, '4 p.m': 49, '5 p.m': 43, '6 p.m': 35, '7 p.m': 26, '8 p.m': 16, '9 p.m': 8, '10 p.m': 0}"
